Session,Gaze Direction
Session Number 1,0.9534632034632035
Session Number 1,0.9106060606060606
Session Number 1,0.8806418219461698
Session Number 1,0.9300911854103344
Session Number 1,0.9181234125205439
Session Number 1,0.9549145660632719
Session Number 1,0.9611307420494699
Session Number 1,0.9231927710843373
Session Number 1,0.944389901823282
Session Number 1,0.9512727272727273
Session Number 1,0.9214843127886606
Session Number 1,0.9509433962264151
Session Number 1,0.9647262334536704
Session Number 1,0.9586206896551723
Session Number 1,0.931800692574067
Session Number 1,0.921962992759453
Session Number 1,0.9704433497536946
Session Number 1,0.976878612716763
Session Number 1,0.9582264043341888
Session Number 1,0.9772727272727273
Session Number 1,0.9867538564721663
Session Number 1,0.9927007299270073
Session Number 1,0.9824540744229864
Session Number 1,0.9856459330143541
Session Number 1,0.9623115577889447
Session Number 1,0.9913793103448276
Session Number 1,0.9530516431924883
Session Number 1,0.9538684719535784
Session Number 1,0.9979591836734694
Session Number 1,1.0020408163265306
Session Number 1,0.9435916179337231
Session Number 1,0.950956937799043
Session Number 1,1.0
Session Number 1,0.9736842105263157
Session Number 1,0.9782608695652174
Session Number 1,0.975
Session Number 1,1.1453125
Session Number 1,1.615762578616352
Session Number 1,1.446595460614152
Session Number 1,1.6052631578947367
Session Number 1,1.469298245614035
Session Number 1,1.5190972222222223
Session Number 1,1.6671929824561404
Session Number 1,1.0401900359527478
Session Number 1,1.3810718586912887
Session Number 1,1.2948526977821913
Session Number 1,1.4590800477897252
Session Number 1,1.5764705882352943
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,1.0254754332446292
Session Number 1,1.1137945270110876
Session Number 1,1.2260614734546444
Session Number 1,1.1725789430960305
Session Number 1,1.067070707070707
Session Number 1,1.113587997446265
Session Number 1,1.0263964235483223
Session Number 1,0.9623655913978495
Session Number 1,1.0633213859020312
Session Number 1,1.0633213859020312
Session Number 1,0.8811611567997386
Session Number 1,0.9638982833169227
Session Number 1,0.8971102884654286
Session Number 1,0.9410743353228432
Session Number 1,0.9386312001585777
Session Number 1,0.9545206724216265
Session Number 1,0.9795093795093794
Session Number 1,0.9698607471611906
Session Number 1,0.9663277474424151
Session Number 1,0.9844324058690005
Session Number 1,0.9970642159251781
Session Number 1,0.998450267681037
Session Number 1,0.9731588287488908
Session Number 1,0.9728033472803348
Session Number 1,0.9731060606060606
Session Number 1,0.9477272727272728
Session Number 1,0.993421052631579
